Longitude,Latitude,Source,Name,Type,Responsable,Street,City,Telephone,Mobile,Mail,Site Web,Label,Products,Horaires
6.6017915,46.6380191,http://www.marchepaysan.ch/site/fr/trouver-un-producteur/par-produits/-38-favre-anna-et-lionel/,Favre Anna et Lionel,Vente directe en libre-service,Panier du Bisse,Impasse des Frigos ZI d'Ecône,Riddes,076 480 91 83,-,lionel.favre@bluewin.ch,http://www.panierdubisse.ch,Bio Suisse,"Abricots,Ail,Artichauts,Asperges blanches,Aubergines,Betteraves à salade,Brocoli,Cardons,Cardons épineux,Carottes,Carottes de couleurs,Carottes en bottes,Carottes nouvelles,Choux,Choux blancs,Choux chinois,Choux de Bruxelles,Choux-fleurs,Choux frisés,Choux nouveaux,Choux,Pak-choï,Choux pointus,Choux raves,Choux romanesco,Choux rouges,Choux à choucroute,Concombres,Concombres Nostranis,Courges musquée de Provence,Courgesttes,Cresson,Céleri branche,Céleri pomme,Côtes de bette,Echalotes,Epinards,Fenouil,Fraises,Fraises des bois,Framboises,Fruits frais,Haricots,Jus de fruits,Jus de pomme pasteurisé,Jus de raisin,Laitues de Morges,Laitues romaines,Légumes en conserve,Légumes frais,Maïs sucrés,Melons,Mûres,Navets,Oignons,Panais,Pastèques,Physallis,Potimarrons,Raisin de table",Le chalet 7 jours sur 7 de 8h00 à 20h00.
6.5402572,46.5222548,http://www.marchepaysan.ch/site/fr/trouver-un-producteur/par-produits/-16-rossier-christian-et-denis/,Rossier Christian et Denis,Marché ou magasin à la ferme,Rossier Christian et Denis,Pl. du Tilleul 1,Denges,079 409 14 61,-,chris.ross@bluewin.ch,http://,PER IP-Suisse,"Abricots,Ail,Asperges vertes,Aubergines,Basilic,Betteraves à salade,Bettraves à salade cuites,Brocoli,Cardons,Carottes,Carottes de couleurs,Carottes nouvelles,Cerises,Choux,Choux blancs,Choux chinois,Choux-fleurs,Choux frisés,Choux nouveaux,Choux pointus,Choux raves,Concombres,Courges,Courges musquée de Provence,Courges rouge d’estampes,Courgesttes,Courgesttes jaunes,Céleri branche,Céleri pomme,Côtes de bette,Echalotes,Endives,Epinards,Epinards à salade,Fenouil,Fraises,Framboises,Fruits de saison,Fruits en conserve,Fruits frais,Fèves,Griottes,Haricots,Haricots fins,Haricots jaunes,Haricots rames,Haricots verts,Haricots violets,Herbes aromatiques,Tisanes,Huile de noix,Huiles,Jus de fruits,Jus de pomme pasteurisé,Kiwis,Laitues de Morges,Légumes de saison,Légumes frais,Maïs sucrés,Miel,Mirabelles,Nashis,Navets,Noix,Oeufs,Oeufs de poule,Oignons,Oignons bottes,Persil,Piments,Poireaux,Poireaux verts,Pois,Pois croquants,Pois mange-tout,Pois à écosser,Poivrons,Pommes,Pommes Boskoop,Pommes Braeburn,Pommes de terre,Pommes de terre virgules,Pommes Elstar,Pommes Gala,Pommes Golden,Pommes Gravenstein,Pommes Maigold,Pommes Primerouge,Potimarrons,Produits de la ruche,Pruneaux,Prunes,Pâtissons,Pêches blanches,Pêches de vigne,Pêches jaunes,Radis,Raisin de table,Rampon,Raves,Raves bottes,Reines-Claudes,Rhubarbe,Roquettes,Salades,Salades batavia,Salades feuilles de chêne,Salades iceberg,Salades lollo,Salades pain de sucre,Salades scaroles,Salades scaroles frisées,Salades Vérone,Scorsonères,Sirops,Tomates,Tomates cerises,Tomates charnues,Tomates en grappes,Tomates roses de Berne,Tomates San Marzano,Topinambour",Mardi et vendredi de 15h à 18h.
6.5367217,46.644744,http://www.marchepaysan.ch/site/fr/trouver-un-producteur/par-produits/-74-la-ferme-a-gachet/,La Ferme à Gachet,Marché ou magasin à la ferme,La Ferme à Gachet,La Croix,Eclépens,021 866 73 36,-,fdgachet@bluewin.ch,http://www.lafermeagachet.ch,PER IP-Suisse,"Abricots,Alcools forts,Asperges vertes,Aubergines,Betteraves à salade,Carottes,Carottes de couleurs,Carottes en bottes,Carottes nouvelles,Cassis,Cerises,Cerises Bigarreau,Choux,Choux blancs,Choux chinois,Choux de Bruxelles,Choux-fleurs,Choux frisés,Choux nouveaux,Choux pointus,Choux raves,Choux rouges,Concombres,Courges musquée de Provence,Courgesttes,Courgesttes jaunes,Courgesttes rondini,Céleri pomme,Côtes de bette,Dent de lion,Echalotes,Endives,Epinards,Epinards à salade,Fenouil,Fraises,Fraises mara des bois,Framboises,Fruits en conserve,Fruits frais,Haricots,Herbes aromatiques,Tisanes,Huile de colza,Huile de noix,Huiles,Laitues de Morges,Liqueurs,Légumes frais,Miel,Mirabelles,Moutarde,Mûres,Oeufs,Oeufs de poule,Oignons,Panais,Persil,Poires,Poires Williams,Pommes,Pommes Gala,Pommes Gravenstein,Pommes Primerouge,Potimarrons,Produits de la ruche,Prunes,Raisinée,Rhubarbe,Sirops,Vinaigre et condiments,Vins de fruits",L'hiver Lundi mercredi jeudi et vendredi: 15h-18h30 Samedi: 8h30-16h30 L'été Lundi-samedi: 8h-12h et 13h à 18h30.
6.4511645,46.6913279,http://www.marchepaysan.ch/site/fr/trouver-un-producteur/par-produits/-11-au-petit-coin-de-paradis/,Au petit coin de Paradis,Marché en ville,Serge et Daniela Grandjean,Rue du Quin 4,Juriens,024 453 12 23,-,bymyfamg6@bluewin.ch,http://,PER IP-Suisse,"Abricots,Alcools forts,Avoine,Basilic,Betteraves à salade,Biscuits,Bois de feu,Boulangerie,Bricelets,Caramels,Carottes,Cassis,Cerfeuil,Cerises,Choux blancs,Choux-fleurs,Choux à choucroute,Ciboulette,Confitures,Courges,Courgesttes,Céleri pomme,Céréales,Côtes de bette,Eaux-de-vie,Epinards,Estragon,Farine,Fraises,Framboises,Fromages de brebis à pâte dure,Fruits de saison,Fruits en conserve,Fruits frais,Groseilles,Gâteaux,Haricots,Herbes aromatiques,Tisanes,Herbes à maggi,Huile de colza,Huile de noix,Huiles,Jus de fruits,Jus de pomme pasteurisé,Kiwis,Laitues de Morges,Liqueurs,Légumes frais,Maïs sucrés,Meringues,Miel,Mûres,Navets,Oeufs,Oeufs de poule,Oignons,Pain,Persil,Persils tubéreux,Pesto,Poireaux,Poires,Pommes,Pommes Boskoop,Pommes de terre,Pommes de terre charlotte,Pommes de terre nouvelles,Pommes Maigold,Produits de la ruche,Pâtisserie et confiserie,Pâtisseries,Pâtissons,Radis,Raisin de table,Raisinets,Raves,Rhubarbe,Romarin,Salades,Salades feuilles de chêne,Salades iceberg,Salades pommées,Salades scaroles frisées,Salades à tondre,Sauces,Sauces diverses,Sauge,Sirops,Thym,Tisanes,Tomates,Tomates cerises,Tomates en grappes,Tomates roses de Berne,Tresse",Au Sentier le jeudi de 7h à 12h de mai à octobre et de 14h30 à 17h45 de novembre à mars.
7.203987,46.173958,http://www.marchepaysan.ch/site/fr/trouver-un-producteur/par-produits/-40-philfruits/,Philfruits,Marché ou magasin à la ferme,Philippe Dorsaz,Portions Neuves 25,Riddes,079 242 79 92,-,info@philfruits.ch,http://www.philfruits.ch,PER,"Abricots,Alcools forts,Basilic,Boulangerie,Cassis,Cerfeuil,Cerises,Charcuterie,Choux-fleurs,Ciboulette,Eaux-de-vie,Fraises,Framboises,Fromages de chèvre à pâte mi-dure,Fromages de chèvre à pâte molle,Fromages mi-dur,Fromages à pâte dure,Fromages à pâte molle,Fruits frais,Groseilles,Jambon blanc,Jus de fruits,Jus multifruits,Liqueurs,Légumes de saison,Légumes frais,Melons,Miel,Mûres,Oeufs,Oeufs de poule,Pain,Poires,Poires Williams,Pommes,Pommes de terre,Pommes de terre virgules,Produits laitiers de chèvre,Produits laitiers de vache,Prunes,Pêches,Raisin de table,Rhubarbe,Salades,Saucisses,Serac de chèvre,Sirops,Sérac,Thym,Tomates,Tomates coeur de boeuf,Tomates roses de Berne,Tommes,Tommes de chèvre,Viandes fumées,Viandes séchées,Vin blanc,Vin rosé,Vin rouge,Vins",Kiosque à fruits Rte du St-Bernard Bovernier d'avril à fin octobre de 10 h à 19 h.
6.8840136,46.4560959,http://www.marchepaysan.ch/site/fr/trouver-un-producteur/par-produits/-63-fruits-buehlmann/,Fruits Bühlmann,Marché ou magasin à la ferme,Fruits Bühlmann,Ch. de la Poneyre,Blonay,076 344 11 83,-,xw@fruitsbuhlmann.ch,http://www.fruitsbuhlmann.ch,PER IP-Suisse,"Abricots,Alcools forts,Boulangerie,Caramels,Carottes,Cerises,Charcuterie,Choux blancs,Courgesttes,Côtes de bette,Eaux-de-vie,Endives,Fenouil,Fromages de chèvre à pâte dure,Fromages de chèvre à pâte molle,Fromages mi-dur,Fromages à pâte dure,Fruits en conserve,Fruits frais,Huiles,Huiles autres,Jus de fruits,Jus de pomme pasteurisé,Jus de raisin,Légumes frais,Miel,Mirabelles,Oeufs,Oeufs de poule,Oignons,Pain,Poireaux,Poires,Poires Comice,Poires conférence,Poires Williams,Pommes,Pommes Boskoop,Pommes Braeburn,Pommes de terre,Pommes de terre nouvelles,Pommes Gala,Pommes Golden,Pommes Maigold,Pommes Mairac,Produits de la ruche,Produits laitiers de chèvre,Produits laitiers de vache,Pruneaux,Raisin de table,Raisinée,Rampon,Salades,Salami,Saucisses aux choux,Saucisson,Sirops,Sérac,Tomates,Tommes,Tommes de chèvre,Tresse,Vinaigre,Vinaigre et condiments,Vin blanc,Vin rosé,Vin rouge,Vins",-
6.2018388,46.3899136,http://www.marchepaysan.ch/site/fr/trouver-un-producteur/par-produits/-82-pradervand-nicolas-et-claire-lise/,Pradervand Nicolas et Claire-Lise,Vente directe en libre-service,Pradervand Nicolas et Claire-Lise,Rue des Fontaines 25,Signy,022 362 67 66,078 607 45 26,n.pradervand@gmail.com,http://www.judpom.ch,PER IP-Suisse,"Abricots,Alcools forts,Cerises Bigarreau,Confitures,Courges,Eaux-de-vie,Fraises,Framboises,Fruits en conserve,Jus de fruits,Jus de pomme frais,Jus de pomme pasteurisé,Lentilles,Légumes secs,Miel,Poires,Poires conférence,Poires Williams,Poires à botzi,Poires à rissoles,Pommes,Pommes Boskoop,Pommes de terre,Pommes de terre nouvelles,Pommes Elstar,Pommes Gala,Pommes Gravenstein,Potimarrons,Produits de la ruche,Raisin de table,Raisinée,Sirops",Dans une grange avec une grande pomme rouge sur la façade.
6.2497555,46.4893948,http://www.marchepaysan.ch/site/fr/trouver-un-producteur/par-produits/-19-famille-borboen/,Famille Borboën,Marché ou magasin à la ferme,Famille Borboën,Rte du Lac 15,Denges,021 801 15 81,079 647 40 23,cborboen@swissonline.ch,http://,PER Suisse-Garantie,"Abricots,Alcools forts,Cerises,Confitures,Fraises,Fraises mara des bois,Framboises,Fruits de saison,Fruits en conserve,Fruits frais,Huile de noix,Huiles,Jus de fruits,Jus de pomme pasteurisé,Légumes de saison,Légumes frais,Miel,Mirabelles,Oeufs,Oeufs de poule,Poires,Poires conférence,Pommes,Pommes Boskoop,Pommes Braeburn,Pommes Elstar,Pommes Gala,Pommes Golden,Pommes Gravenstein,Pommes Maigold,Pommes Pinova,Pommes Primerouge,Produits de la ruche,Raisin de table,Raisinée,Reines-Claudes,Sirops,Vinaigre,Vinaigre et condiments,Vins,Vins de fruits",Samedi de 9h à 12h30.
6.439725,46.477584,http://www.marchepaysan.ch/site/fr/trouver-un-producteur/par-produits/-57-pfirter-pierre-olivier-et-lorella/,Pfirter Pierre-Olivier et Lorella,Marché ou magasin à la ferme,Pfirter Pierre-Olivier et Lorella,Ch. des Oiseaux 6,Saint-Prex,021 806 14 20,-,lorella@pfirter.org,http://,PER IP-Suisse,"Abricots,Asperges vertes,Aubergines,Basilic,Betteraves à salade,Brocoli,Cardons épineux,Carottes,Carottes en bottes,Carottes nouvelles,Cerises,Choux blancs,Choux frisés,Choux rouges,Concombres,Concombres Nostranis,Courges musquée de Provence,Courgesttes,Céleri pomme,Echalotes,Endives,Epinards à salade,Fraises,Framboises,Fruits frais,Haricots jaunes,Laitues romaines,Légumes frais,Mesclun,Mirabelles,Myrtilles,Oignons,Oignons bottes,Poireaux,Poireaux nouveaux,Poires,Poivrons,Pommes,Pommes de terre,Pommes de terre nouvelles,Pommes Gala,Potimarrons,Pêches jaunes,Radis,Raves,Roquettes,Salades,Salades batavia,Salades feuilles de chêne,Salades iceberg,Salades pommées,Salades trévises,Salades à tondre,Sauces,Sauces diverses,Tomates,Tomates cerises,Tomates charnues,Tomates en grappes,Tomates roses de Berne,Tomates San Marzano,Topinambour",Printemps: mardi et vendredi de 15h à 18h Juillet à décembre: vendredi de 15 h à 18 h.
6.1286216,46.3111817,http://www.marchepaysan.ch/site/fr/trouver-un-producteur/par-produits/-105-favre-christine/,Favre Christine,Marché ou magasin à la ferme,Favre Christine,Ch. du Moulin 5,St-Barthélemy,021 882 54 69,-,bcfvfavre@hotmail.com,http://,PER,"Abricots,Asperges vertes,Aubergines,Betteraves à salade,Bois de feu,Boulangerie,Choux de Bruxelles,Choux-fleurs,Choux rouges,Concombres,Courgesttes,Courgesttes à l’aigre doux,Céleri pomme,Côtes de bette,Demi ou quart de bête boeuf,Endives,Fenouil,Fraises,Framboises,Fruits en conserve,Fruits frais,Haricots,Huile de colza,Huiles,Jus de fruits,Jus de pomme pasteurisé,Légumes en conserve,Légumes frais,Melons,Miel,Myrtilles,Mûres,Oeufs,Oeufs de poule,Pain,Poireaux,Poires,Poires conférence,Pommes Boskoop,Pommes Gala,Poulets fermiers,Produits de la ruche,Pruneaux,Pâtissons,Raisinée,Reines-Claudes,Rhubarbe,Salades batavia,Salades scaroles,Salades à tondre,Sauces,Sauces diverses,Tomates,Tomates cerises,Tomates en grappes,Tomates roses de Berne,Topinambour,Tresse,Viande de boeuf,Volaille",Samedi de 9 h 30 à 11 h. + Pain et tresses.
6.5241191,46.5440226,http://www.marchepaysan.ch/site/fr/trouver-un-producteur/par-produits/-59-marche-du-taulard/,Marché du Taulard,Marché ou magasin à la ferme,Denis et Samuel Pache,Ch. du Boulard 1,Romanel sur Lausanne,021 647 81 22,-,info@taulard.ch,http://www.taulard.ch,PER IP-Suisse,"Abricots,Asperges vertes,Aubergines,Betteraves à salade,Brocoli,Cardons épineux,Carottes de couleurs,Carottes en bottes,Carottes nouvelles,Cerfeuil,Tubereux,Cerises,Cerises Bigarreau,Cerises noires,Choux blancs,Choux de Bruxelles,Choux-fleurs,Choux frisés,Choux pointus,Choux raves,Choux romanesco,Choux rouges,Concombres,Concombres Nostranis,Confitures,Courges,Courges musquée de Provence,Courgesttes,Courgesttes jaunes,Courgesttes rondini,Cresson,Céleri branche,Céleri pomme,Côtes de bette,Echalotes,Endives,Epinards,Epinards à salade,Fenouil,Fraises,Framboises,Fruits de saison,Fruits en conserve,Fruits frais,Fèves,Griottes,Haricots,Haricots fins,Haricots rames,Haricots verts,Huile de colza,Huile de noix,Huiles,Jus de fruits,Jus de pomme pasteurisé,Laitues romaines,Légumes de saison,Légumes frais,Maïs sucrés,Mesclun,Miel,Mirabelles,Mûres,Navets,Noix,Oeufs,Oeufs de poule,Oignons,Oignons bottes,Panais,Persils tubéreux,Poireaux,Poires,Pois mange-tout,Pois à écosser,Poivrons,Pommes,Pommes de terre,Potimarrons,Pourpier,Produits de la ruche,Pâtissons,Pêches,Pêches blanches,Pêches jaunes,Radis,Raisinets,Raisinée,Rampon,Raves,Rhubarbe,Roquette vivace,Salades,Salades batavia,Salades feuilles de chêne,Salades iceberg,Salades orientales Red Giant,Salades pain de sucre,Salades pommées,Salades à tondre,Scorsonères,Sirops,Tomates cerises,Tomates charnues,Tomates coeur de boeuf,Tomates roses de Berne,Tomates San Marzano,Topinambour",Mardi et vendredi: 15h-18h30 Chaque vendredi: viande de porc fermier et de mai à septembre fromages de brebis. Chaque mardi dès avril: fromages de chèvre.
6.7528186,46.703153,http://www.marchepaysan.ch/site/fr/trouver-un-producteur/par-produits/-20-la-petite-ligniere/,La Petite Lignière,Vente directe en libre-service,Pascal Chollet,Rte Suisse 55,Gland,076 305 11 96,-,info@lapetiteligniere.ch,http://www.lapetiteligniere.ch,PER,"Abricots,Asperges vertes,Cerises,Confitures,Fraises,Framboises,Fruits en conserve,Fruits frais,Jus de fruits,Jus de pomme pasteurisé,Légumes frais,Miel,Myrtilles,Oeufs,Oeufs de poule,Pommes,Produits de la ruche,Pêches,Rhubarbe,Sirops",-
6.6716826,46.7581038,http://www.marchepaysan.ch/site/fr/trouver-un-producteur/par-produits/-76-famille-vulliemin/,Famille Vulliemin,Marché en ville,Famille Vulliemin,Rte de Cronay 17,Pomy,024 425 90 86,079 281 20 71,info@vullieminpomy.ch,http://www.vullieminpomy.ch,Bio Suisse,"Abricots,Cassis,Cerises,Cerises Bigarreau,Cerises noires,Fraises,Fraises mara des bois,Fruits de saison,Fruits frais,Groseilles,Jus de fruits,Jus de pomme pasteurisé,Légumes de saison,Légumes frais,Mirabelles,Mûres,Nashis,Noix,Poires,Poires conférence,Poires Williams,Pommes,Pommes Arlet,Pommes Boskoop,Pommes de terre,Pommes Elstar,Pommes Gala,Pommes Golden,Pommes Gravenstein,Pommes Mairac,Pommes Pinova,Pommes Primerouge,Raisinets,Raisinée,Reines-Claudes,Rhubarbe",Yverdon Mardi et samedi de 8 h à 12 h Le Sentier: Jeudi de 8 h à 12 h (du 1er mai au 31 octobre).
6.2854388,46.4211416,http://www.marchepaysan.ch/site/fr/trouver-un-producteur/par-produits/-84-la-ferme-vaudoise/,La Ferme Vaudoise,Magasins en ville,La Ferme Vaudoise,Place de la Palud 5,Lausanne,021 351 35 55,-,info@lafermevaudoise.ch,http://www.lafermevaudoise.ch,-,"Agneau,Alcools forts,Aneth,Basilic,Beurre,Biscuits,Bières,Boulangerie,Bricelets,Caramels,Cerfeuil,Charcuterie,Ciboulette,Cidre,Confitures,Coriandre,Céréales,Eaux-de-vie,Estragon,Farine,Fromages mi-dur,Fromages à pâte dure,Fromages à pâte molle,Fruits de saison,Fruits en conserve,Fruits frais,Gâteaux,Herbes aromatiques,Tisanes,Herbes à maggi,Huiles,Huiles autres,Hydromels,Jambons,Laurier,Liqueurs,Légumes de saison,Légumes frais,Menthe,Meringues,Miel,Monarde,Moutarde,Pain,Persil,Poires,Poisson,Poulets,Produits de la ruche,Produits laitiers de brebis,Produits laitiers de chèvre,Produits laitiers de vache,Pâtes,Pâtisserie et confiserie,Raisinée,Romarin,Saucisses aux choux,Saucisse à rôtir,Saucisson,Sauge,Spiritueux,Thym,Tisanes,Tommes,Verveine,Viande d’Agneau,Viandes diverses,Viandes séchées,Vinaigre,Vinaigre et condiments,Vin blanc,Vin rosé,Vin rouge,Vins,Vins de fruits,Volaille,Yogourts,Yogourts de brebis",Lundi Mardi et Jeudi 9h00 à 13h00 et 14h00 à 18h30 Mercredi et Vendredi 9h00 à 18h30 Samedi 7h30 à 17h00.
6.468843,46.5560686,http://www.marchepaysan.ch/site/fr/trouver-un-producteur/par-produits/-70-ferme-courtois/,Ferme Courtois,Marché ou magasin à la ferme,Ferme Courtois,R. de la Branvaude 13,Versoix,022 755 43 16,-,lescourtois@bluewin.ch,http://www.fermecourtois.ch,PER,"Agneau,Alcools forts,Assortiment viande de porc,Avoine,Bières,Blés,Boeuf broutard,Bois de feu,Cailles,Charcuterie,Cidre,Coloquintes,Confitures,Cosmétiques,Courges,Céréales,Dinde,Dinde de Noël,Eaux-de-vie,Epautres,Fleurs,Sapins de Noël,Fleurs coupées,Fleurs en pot,Fromages de chèvre à pâte dure,Fromages de chèvre à pâte mi-dure,Fromages à pâte dure,Fruits de saison,Fruits en conserve,Fruits frais,Highland,Huile de colza,Huile de noix,Huile de tournesol,Huiles autres,Huiles,Essentielles,Hydromels,Lait de vache,Lapins,Lentilles,Lin,Liqueurs,Légumes de saison,Légumes frais,Légumes secs,Miel,Mousseux,Moutarde,Oeufs,Oeufs de poule,Pesto,Polenta poules à bouillir,Poulets,Poulets fermiers,Produits de bufflonnes,Produits de la ruche,Produits laitiers de chèvre,Produits laitiers de vache,Raisinée,Salami,Sarasin,Sauces,Spiritueux,Veau,Viande de boeuf,Viande de porc,Viandes diverses,Viandes séchées,Vinaigre,Vinaigre et condiments,Vin blanc,Vin rosé,Vin rouge,Vins,Vins de fruits,Volaille,Yogourts,Yogourts de chèvre",Lundi-mardi: 9h-12h et 13h30-18h Vendredi: 9h-18h Samedi: 9h-17h Fermeture annuelle: mois de janvier.
6.7868461,46.4932725,http://www.marchepaysan.ch/site/fr/trouver-un-producteur/par-produits/-4-martin-georges-et-fils/,Martin Georges et fils,Marché ou magasin à la ferme,Martin Georges et fils,Ch. de Cremières 2,Puidoux,021 946 25 01,-,-,http://,PER,"Agneau,Assortiment viande de boeuf,Assortiment viande de porc,Boeuf broutard,Cervelas,Charcuterie,Chipolata,Dinde,Jambon blanc,Lapins,Merguez,Miel,Oeufs,Oeufs de poule,Produits de la ruche,Salami,Saucisses,Saucisses aux choux,Saucisse à rôtir,Saucisson,Schübling,Terrines,Viande de boeuf,Viande de porc,Viande d’Agneau,Viandes diverses,Viandes fumées,Viandes séchées,Wienerli",Mardi jeudi et vendredi de 9h à 12h et de 13h30 à 18h Samedi de 9h à 12h et de 13h30 à 16h30 Fermé le dimanche lundi et mercredi.
6.7124401,46.5194309,http://www.biovaud.ch/http://www.biovaud.ch/,La Biergerie,-,Müller Mathieu,La Tuilière 2,1145 Bière,021 809 44 08,-,info@labiergerie.ch,www.labiergerie.ch,-,"Agneau,Peau de mouton",Sur demande: 021 809 44 08
